"nox"	"air_temp"
"235"	20.17274	0.1
"236"	101.7895	0.1
"237"	36.23713	0.1
"238"	6.90602	0.1
"239"	16.81278	0.1
"240"	18.52338	0.1
"241"	6.34121	0.2
"242"	12.73563	0.2
"243"	31.46579	0.2
"244"	30.65482	0.2
"245"	20.50256	0.2
"246"	18.49702	0.2
"247"	11.5321	0.2
"248"	18.62476	0.2
"249"	56.58148	0.2
"250"	27.88294	0.3
"251"	19.18154	0.3
"252"	24.75073	0.3
"253"	8.89019	0.3
"254"	9.27672	0.3
"255"	12.92933	0.3
"256"	19.56069	0.3
"257"	28.61117	0.3
"258"	88.5698	0.3
"259"	20.47797	0.3
"260"	11.14118	0.3
"261"	16.12854	0.3
"262"	56.11508	0.3
"263"	14.12403	0.3
"264"	38.57523	0.3
"265"	42.70303	0.3
"266"	5.10685	0.4
"267"	13.16768	0.4
"268"	7.67068	0.4
"269"	18.81295	0.4
"270"	41.63282	0.4
"271"	17.68906	0.4
"272"	26.90784	0.4
"273"	27.40813	0.4
"274"	23.3417	0.4
"275"	8.83926	0.5
"276"	6.72552	0.5
"277"	3.07895	0.5
"278"	57.62745	0.5
"279"	5.20321	0.5
"280"	22.65985	0.5
"281"	8.3223	0.5
"282"	14.8663	0.5
"283"	37.42935	0.5
"284"	11.31205	0.5
"285"	15.64497	0.5
"286"	6.53903	0.5
"287"	7.38743	0.5
"288"	10.83823	0.5
"289"	47.71536	0.5
"290"	22.01791	0.6
"291"	18.43886	0.6
"292"	10.28399	0.6
"293"	14.88948	0.6
"294"	70.11732	0.6
"295"	18.41701	0.6
"296"	17.03309	0.6
"297"	6.13517	0.6
"298"	36.43319	0.6
"299"	24.01168	0.6
"300"	7.76251	0.6
"301"	34.1526	0.6
"302"	32.10948	0.7
"303"	17.42578	0.7
"304"	18.74026	0.7
"305"	10.22167	0.7
"306"	12.96123	0.7
"307"	70.84451	0.7
"308"	8.54456	0.7
"309"	25.09964	0.7
"310"	9.82625	0.7
"311"	12.13728	0.7
"312"	18.86918	0.7
"313"	45.28475	0.7
"314"	38.87008	0.7
"315"	4.09937	0.8
"316"	5.0033	0.8
"317"	4.43236	0.8
"318"	25.61918	0.8
"319"	11.56195	0.8
"320"	10.27012	0.8
"321"	20.0411	0.8
"322"	13.06737	0.8
"323"	19.10614	0.8
"324"	24.33943	0.8
"325"	52.42468	0.8
"326"	50.51744	0.8
"327"	33.54788	0.8
"328"	16.236	0.8
"329"	9.26282	0.8
"330"	8.31697	0.8
"331"	63.64928	0.8
"332"	11.18152	0.8
"333"	51.99057	0.8
"334"	21.51886	0.8
"335"	9.28497	0.9
"336"	12.65257	0.9
"337"	22.14589	0.9
"338"	28.6864	0.9
"339"	11.63588	0.9
"340"	31.13794	0.9
"341"	19.41038	0.9
"342"	19.56348	0.9
"343"	40.4676	0.9
"344"	30.15615	0.9
"345"	15.81399	0.9
"346"	30.89811	0.9
"347"	145.00983	0.9
"348"	23.21706	0.9
"349"	31.61073	0.9
"350"	19.86731	0.9
"351"	14.26853	0.9
"352"	28.48819	0.9
"353"	22.13576	0.9
"354"	12.05567	0.9
"355"	65.42806	0.9
"356"	16.21634	0.9
"357"	7.83043	1
"358"	72.30334	1
"359"	4.93915	1
"360"	5.53249	1
"361"	14.28827	1
"362"	8.80388	1
"363"	19.35358	1
"364"	10.06917	1
"365"	31.33062	1
